"SamplingSize","SobolSampleID","ntree","minbucket","MeanRowsError","SdRowsError"
78,17,14,8,2.13049058574222,0.953157960243224
78,18,18,2,1.50913891678021,1.04208952182537
78,19,10,7,1.95568698246738,0.864096790262195
78,20,8,3,1.63306898710437,1.06652601587485
78,21,20,6,1.77030417754558,0.874399695117219
78,22,12,4,1.53541031934761,1.0161244170022
78,23,6,9,2.34898450288846,1.09238312460403
78,24,5,1,1.66356021100802,1.10019563198494
78,25,12,7,1.92247648317517,0.861866356355499
78,26,18,4,1.51568261585885,1.0021250039831
78,27,8,8,2.15640192979336,0.960223885507196
78,28,10,4,1.55478195336342,1.01789652071645
78,29,16,10,2.45620009547387,1.17950319192299
78,30,15,3,1.55254444155038,1.02745508286388
78,31,2,7,2.06164582104383,0.918385006440174
78,32,2,3,1.89212092488187,1.15472615839999
78,33,15,10,2.45861515844032,1.18971973888379
78,34,16,2,1.50498371505003,1.05014636574379
78,35,10,6,1.78271396748871,0.886050553535114
78,36,8,1,1.58977238547047,1.10660314350239
78,37,18,8,2.11374629573981,0.940925374131194
78,38,12,5,1.62290306707793,0.95388563089223
78,39,4,9,2.37312309862604,1.06409353913768
78,40,6,3,1.67882403228356,1.08332806955685
78,41,12,6,1.74158740481355,0.894244531780107
78,42,19,4,1.51314219733506,1.00106947355343
78,43,7,9,2.37187161480067,1.11989743813979
78,44,9,5,1.63509607928747,0.938569657025882
78,45,17,8,2.11183124992265,0.940185187403907
78,46,14,2,1.50891109305993,1.0545226159943
78,47,4,7,1.98904889059713,0.881597884119307
78,48,3,2,1.79803171626936,1.15445964041515
78,49,14,7,1.91973735666003,0.856217287613747
78,50,17,5,1.59288806240042,0.950040627266644
78,51,9,8,2.13707883679172,0.955083875929494
78,52,7,4,1.59177142913335,1.01535056109845
78,53,19,9,2.37394699195173,1.13352429620537
78,54,11,3,1.60414245778469,1.04201733360765
78,55,6,6,1.87339382058535,0.892211351115456
78,56,5,5,1.69053362674249,0.924364320708439
78,57,13,8,2.12949372525628,0.943975067103842
78,58,19,1,1.52393945037758,1.05089249972637
78,59,9,7,1.96597785292792,0.866733005502853
78,60,11,2,1.52226120868719,1.07539552542009
78,61,17,6,1.75683441178089,0.887317619287201
78,62,15,4,1.53810046147194,1.01275125207694
78,63,3,10,2.50063586432537,1.13420423584484
78,64,3,5,1.74263779899417,0.946421635258201
78,65,15,9,2.37648026149944,1.13297538270651
78,66,16,1,1.557505001748,1.0763536185178
78,67,11,7,1.94022742690788,0.866015397878957
78,68,9,2,1.54055918327581,1.12809816176202
78,69,19,6,1.76489056343162,0.883683744006856
78,70,13,3,1.57337564326862,1.01947620087144
78,71,5,10,2.49992161139138,1.15865697160306
78,72,6,2,1.60306775333149,1.13266496395098
78,73,12,7,1.92247648317517,0.861866356355499
78,74,19,5,1.5739159689686,0.953808092939563
78,75,7,8,2.13802941636965,0.934055076774971
78,76,9,4,1.55902742997396,1.00938292799363
78,77,17,9,2.3672631060486,1.12330795140904
78,78,14,3,1.56644010741753,1.02551257162927
78,79,4,6,1.88258681542515,0.873585891642976
78,80,4,3,1.73489676729643,1.08640510147751
78,81,14,6,1.75074035700255,0.887543360915798
78,82,17,4,1.52506541495045,0.999858518342954
78,83,10,9,2.39415163597783,1.15059201928793
78,84,7,5,1.66911832939797,0.933259369909541
78,85,20,8,2.12934199982398,0.951383620956417
78,86,12,2,1.49865937064719,1.06438976382504
78,87,6,7,1.94658237084309,0.862783683359063
78,88,4,4,1.67882409630659,1.03556229975051
78,89,12,10,2.48646080482737,1.22089665373024
78,90,18,3,1.53222979895551,1.0110698998674
78,91,8,6,1.84175895785934,0.878891627075468
78,92,10,1,1.58874245966054,1.09909973956735
78,93,16,7,1.91665163121625,0.863538193777254
78,94,14,5,1.614647143157,0.953955511451094
78,95,2,9,2.29303156172092,0.977062751751159
78,96,3,1,1.76208461181313,1.17245556936664
78,97,15,8,2.12476875533921,0.950223109226136
78,98,16,5,1.60484621438027,0.950644678271407
78,99,10,9,2.39415163597783,1.15059201928793
78,100,8,3,1.63306898710437,1.06652601587485
