"SamplingSize","SobolSampleID","ntree","minbucket","MeanRowsError","SdRowsError"
18,62,15,3,215.31351767135,158.823641656707
18,63,3,9,280.298390101596,196.954844457665
18,64,3,4,266.116524619354,191.467038141141
18,65,15,8,240.943198402763,175.416769623796
18,66,16,1,212.946027047291,157.035217139978
18,67,11,7,272.413024451978,193.35392120033
18,68,9,2,208.477318932509,169.014448073267
18,69,19,6,266.144314542126,183.067387293647
18,70,13,3,210.85174686252,153.14874019261
18,71,5,9,246.189077043917,171.741279440462
18,72,6,2,220.253103723659,179.27963193281
18,73,12,6,267.714055868751,189.936491824396
18,74,19,5,232.056046029843,174.598755167278
18,75,7,7,293.023717084141,209.85199623191
18,76,9,4,270.34355819558,195.050920034634
18,77,17,8,241.720010555994,175.735218976279
18,78,14,3,217.433272157093,160.508222592828
18,79,4,5,289.698429472308,217.15295044768
18,80,4,3,209.591652302989,153.657242714306
18,81,14,5,218.074189515555,158.941947017198
18,82,17,4,240.253552775541,188.942588371634
18,83,10,8,239.448082078702,171.096913098046
18,84,7,5,225.805236887802,170.077439466606
18,85,20,7,267.859418971197,194.078860813167
18,86,12,2,211.565268471466,173.538019365179
18,87,6,6,314.383583749201,224.250593312113
18,88,4,3,209.591652302989,153.657242714306
18,89,12,9,263.350130319689,192.111436635059
18,90,18,2,209.059659152112,162.435650809558
18,91,8,6,290.333597628691,211.460955141305
18,92,10,1,199.906145195152,153.675299332957
18,93,16,7,272.767653858396,200.073571678413
18,94,14,4,260.146210094376,200.422965796534
18,95,2,8,295.295047909825,232.681645695056
18,96,3,1,140.379529047195,144.869087412142
18,97,15,7,274.864833649171,200.531927813914
18,98,16,4,244.112210169527,188.617602324762
18,99,10,8,239.448082078702,171.096913098046
18,100,8,3,211.768892764409,152.59339234702
36,1,15,6,99.4066952806762,126.877174001505
36,2,16,3,64.9872562945917,86.8000422478327
36,3,10,10,135.273516559073,145.866593823428
36,4,8,5,93.4729333890981,125.729411688775
36,5,18,9,146.872134347928,145.48049237143
36,6,13,2,81.5323848952771,112.128335560587
36,7,5,8,98.8693965516673,109.379390209423
36,8,6,4,90.8883857861384,111.188905453158
36,9,11,9,123.867129115825,137.113677800952
36,10,19,3,62.8703243646829,80.6905466744623
36,11,7,6,88.2975825732539,123.567277017678
36,12,9,2,81.5436572499082,112.373055363023
36,13,17,7,91.3239366166046,113.453058895493
36,14,13,5,96.1357543268486,127.188503538274
36,15,3,8,116.560169742838,126.019994652667
36,16,4,5,86.3366788436164,127.339365049232
36,17,14,8,111.128986854757,133.905971548894
36,18,18,2,82.8620815279952,116.19736300571
36,19,10,7,97.1085541523038,125.118801563372
36,20,8,3,68.717477430355,87.0970882011976
36,21,20,6,93.4996897625542,117.473135849034
36,22,12,4,91.4181739736277,108.338004376867
36,23,6,9,123.296667816608,138.808871346222
36,24,5,1,70.8910679688392,69.7193060163572
36,25,12,7,95.5254767515851,118.189577688653
36,26,18,4,83.8097331712375,106.009335516619
36,27,8,8,118.609628714506,135.077133357901
36,28,10,4,92.8464940910966,117.507534911428
36,29,16,10,131.867265395713,142.587977611419
36,30,15,3,62.7815420849204,79.7028260512628
36,31,2,7,93.6003516204618,117.721818286894
36,32,2,3,72.313597830412,125.442497343327
36,33,15,10,132.945654801145,143.365724709704
36,34,16,2,81.9334977883752,114.370819568019
36,35,10,6,96.0683474823281,122.34744676864
36,36,8,1,62.7014111499915,68.089824587409
36,37,18,8,116.430933652911,140.327514332358
36,38,12,5,88.0899575793924,118.090967484766
36,39,4,9,118.289808512446,143.583781506937
36,40,6,3,73.9850892731032,99.38581649347
36,41,12,6,95.502230296561,122.818682882166
36,42,19,4,81.0188136294584,100.708963382496
