"SamplingSize","SobolSampleID","ntree","minbucket","MeanRowsError","SdRowsError"
78,39,4,9,4.49681642558981,1.81954293314197
78,40,6,3,4.39940247692955,1.70992897184152
78,41,12,6,4.27574253892839,1.79637815118246
78,42,19,4,4.24819120680948,1.78404762319789
78,43,7,9,4.39219507755674,1.87758785971553
78,44,9,5,4.34531848157771,1.85544160840931
78,45,17,8,4.30502967192325,1.87206503376566
78,46,14,2,4.2323775027392,1.76038271553493
78,47,4,7,4.52148993780528,1.76907082944372
78,48,3,2,4.69237304004312,1.68500297105341
78,49,14,7,4.30240823540256,1.80763285009862
78,50,17,5,4.27071402875435,1.84095179958218
78,51,9,8,4.34268472842232,1.83530356857804
78,52,7,4,4.36114577461896,1.76975245029208
78,53,19,9,4.27910394140429,1.8786096327918
78,54,11,3,4.29275908429817,1.74380631795551
78,55,6,6,4.2861548333053,1.7686201807406
78,56,5,5,4.40198260888636,1.78336766523738
78,57,13,8,4.33473098661913,1.85247878242364
78,58,19,1,4.2259213062507,1.76233905483554
78,59,9,7,4.34053668949568,1.77377381611703
78,60,11,2,4.27000066696805,1.7509523645894
78,61,17,6,4.25395992766461,1.81268198690274
78,62,15,4,4.25908088778719,1.77044404843083
78,63,3,10,4.4951124348604,1.75669243357589
78,64,3,5,4.52723191482881,1.77326156410595
78,65,15,9,4.28982401062091,1.87215488820387
78,66,16,1,4.27312225227174,1.76482391492049
78,67,11,7,4.35826870208072,1.80200733072409
78,68,9,2,4.29466138876169,1.72075114444345
78,69,19,6,4.24826606598284,1.81330859117388
78,70,13,3,4.28481141696172,1.74360242282495
78,71,5,10,4.45182091078285,1.82723122686478
78,72,6,2,4.39073310204389,1.71580187559155
78,73,12,7,4.3386797629102,1.80570315669735
78,74,19,5,4.26048503108364,1.836435885257
78,75,7,8,4.3757449712185,1.79441435159493
78,76,9,4,4.30594236939986,1.74757178853243
78,77,17,9,4.28492223428102,1.87450724639761
78,78,14,3,4.27504190072006,1.7499776826329
78,79,4,6,4.39155956981332,1.72136427824171
78,80,4,3,4.52793024386616,1.66347641274313
78,81,14,6,4.27381093993778,1.79694686297523
78,82,17,4,4.23807236635692,1.77656913106258
78,83,10,9,4.33297456361624,1.86771411229217
78,84,7,5,4.35765178555544,1.82374190492717
78,85,20,8,4.3113366114625,1.88193208593814
78,86,12,2,4.24833252878623,1.75103243629934
78,87,6,7,4.42580138183655,1.75504177942854
78,88,4,4,4.46265014166709,1.73556306781904
78,89,12,10,4.34122625603761,1.86946515408891
78,90,18,3,4.24175163356007,1.76233951043397
78,91,8,6,4.28494666241431,1.7699838392781
78,92,10,1,4.31480260034821,1.75145828457741
78,93,16,7,4.2982460427491,1.81774355663071
78,94,14,5,4.29645299653654,1.8353363055981
78,95,2,9,4.8226483702497,1.80162529179024
78,96,3,1,4.70404649351039,1.6493587487824
78,97,15,8,4.31506351092605,1.86842675700501
78,98,16,5,4.28265113860958,1.84529086598554
78,99,10,9,4.33297456361624,1.86771411229217
78,100,8,3,4.34700697589676,1.71000426431995
117,1,15,6,4.07882671520224,1.73341903590152
117,2,16,3,4.1072074701853,1.69868684894238
117,3,10,10,4.11469731809026,1.79775285094295
117,4,8,5,4.12621893740597,1.72272509883531
117,5,18,9,4.12709492231197,1.8033187986054
117,6,13,2,4.11302194184913,1.6981109889548
117,7,5,8,4.11673366869172,1.70243394122678
117,8,6,4,4.23241813201713,1.714975649714
117,9,11,9,4.13500078310856,1.77810196884819
