"SamplingSize","SobolSampleID","ntree","minbucket","MeanRowsError","SdRowsError"
22,40,6,3,4.23028716348343,1.75705687744138
22,41,12,6,4.53977900848334,1.877424279288
22,42,19,4,4.14627181200279,1.75738042172555
22,43,7,9,5.10050816422371,2.2214583435987
22,44,9,5,4.33767666027701,1.75427751973056
22,45,17,8,4.84269603787761,2.11448560023031
22,46,14,2,4.08090352213741,1.68108202192507
22,47,4,7,4.81285575086953,1.99184513814139
22,48,3,2,4.97906572052225,1.78524995701285
22,49,14,7,4.77651844660188,2.05281083972122
22,50,17,5,4.21362163683152,1.87883384759799
22,51,9,8,4.82816749101776,2.05261218093445
22,52,7,4,4.28643597734065,1.76829284131763
22,53,19,9,5.06340721866535,2.16066095383753
22,54,11,3,4.05748538500212,1.79211455324693
22,55,6,6,4.77294788744134,1.85679572442764
22,56,5,5,4.50802212987567,1.70533201617093
22,57,13,8,4.85161530877951,2.07072481876176
22,58,19,1,3.77967087696834,1.63116022208023
22,59,9,7,4.75397185133188,2.03643677495378
22,60,11,2,4.23321184367249,1.72886807711085
22,61,17,6,4.51105171787276,1.89789832084762
22,62,15,4,4.15502441741044,1.76587546821982
22,63,3,10,5.30240990441378,2.20380453751455
22,64,3,5,4.78044107341617,1.78223606273276
22,65,15,9,5.01962337129761,2.21717692798232
22,66,16,1,3.79503859065642,1.64433256168191
22,67,11,7,4.74499477107431,2.04847252727505
22,68,9,2,4.22520167587639,1.73914507731967
22,69,19,6,4.52108218898011,1.91967076965518
22,70,13,3,4.04408461699465,1.81664087104245
22,71,5,10,5.26606596716333,2.20982865295061
22,72,6,2,4.36624847724576,1.75652118853369
22,73,12,7,4.77704564667535,2.05359871808115
22,74,19,5,4.18141958557748,1.88634631954211
22,75,7,8,4.80825392507135,2.05821040661241
22,76,9,4,4.24123355672018,1.78927120462882
22,77,17,9,5.05505059282509,2.19055699117275
22,78,14,3,4.02421117025528,1.82656172003011
22,79,4,6,4.66742393038713,1.88649907318306
